timestamp,batch_size,avg_seq_len,max_seq_len,min_seq_len,total_tokens,model_name,num_layers,hidden_size,num_heads,vocab_size,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_cached_mb,quantize_kv,use_flash_attention,dtype,tokens_per_second,latency_ms
1768628468.459187,8,593.375,875,149,4747,synthetic-7B,32,4096,32,32000,5604.347674793178,6725.217209751813,3362.6086048759066,False,True,float16,448.2965469328699,32.10605192761609
1768628468.4592621,4,618.5,906,345,2474,synthetic-7B,32,4096,32,32000,2178.7836836739057,2614.5404204086867,1307.2702102043434,False,True,float16,165.0210440494647,442.0808386297883
1768628468.4593294,4,403.5,856,91,1614,synthetic-7B,32,4096,32,32000,1779.127576706189,2134.9530920474267,1067.4765460237134,False,True,float16,499.1529353126547,410.44845503215157
1768628468.459392,16,523.0625,905,66,8369,synthetic-7B,32,4096,32,32000,7976.746813619907,9572.096176343888,4786.048088171944,False,False,float16,439.72618585111206,271.6828233925833
1768628468.459453,2,565.5,648,483,1131,synthetic-7B,32,4096,32,32000,1152.2691501493014,1382.7229801791616,691.3614900895808,False,True,float16,288.65545013106805,303.6068977831576
1768628468.4595149,4,628.25,960,468,2513,synthetic-7B,32,4096,32,32000,2548.888670461301,3058.6664045535613,1529.3332022767806,False,True,float16,263.0318809026468,305.4476401150209
1768628468.4595737,1,601.0,601,601,601,synthetic-7B,32,4096,32,32000,634.6763529122493,761.6116234946991,380.80581174734954,False,True,float16,251.40927035564587,318.4702584103539
1768628468.4596317,2,310.0,385,235,620,synthetic-7B,32,4096,32,32000,769.1066649770037,922.9279979724043,461.46399898620217,False,False,float16,272.3347374266089,119.7625346480669
1768628468.4596908,16,539.875,997,92,8638,synthetic-7B,32,4096,32,32000,7723.4601244712085,9268.152149365449,4634.0760746827245,False,True,float16,240.89550166676253,277.36469591268184
1768628468.4597497,32,548.53125,975,78,17553,synthetic-7B,32,4096,32,32000,17625.6267777212,21150.75213326544,10575.37606663272,False,True,float16,350.5247519935898,320.5064601514142
1768628468.4598086,2,296.5,375,218,593,synthetic-7B,32,4096,32,32000,697.207322145781,836.6487865749372,418.3243932874686,False,True,float16,189.39079861326053,52.634193271486694
1768628468.4598663,1,126.0,126,126,126,synthetic-7B,32,4096,32,32000,137.57177335226163,165.08612802271395,82.54306401135698,False,True,float16,294.9635482376504,428.8328309374201
1768628468.4599242,32,516.25,973,61,16520,synthetic-7B,32,4096,32,32000,15712.251265781344,18854.70151893761,9427.350759468805,False,True,float16,301.1977460907183,431.43904911630386
1768628468.4599826,4,497.75,737,169,1991,synthetic-7B,32,4096,32,32000,1676.4057886453438,2011.6869463744124,1005.8434731872062,True,False,float16,270.8341028181916,318.8693454642389
1768628468.4600403,2,640.5,733,548,1281,synthetic-7B,32,4096,32,32000,1249.1279257181318,1498.953510861758,749.476755430879,False,True,float16,461.4920255752513,206.42053945682474
1768628468.4600987,2,612.0,732,492,1224,synthetic-7B,32,4096,32,32000,1139.0534682533712,1366.8641619040454,683.4320809520227,False,True,float16,483.65979778837766,115.36252174244086
1768628468.4601562,32,605.59375,985,57,19379,synthetic-7B,32,4096,32,32000,19336.913412071688,23204.296094486024,11602.148047243012,False,True,float16,151.5672581783104,483.4260756102604
1768628468.4602149,8,578.0,918,154,4624,synthetic-7B,32,4096,32,32000,5059.650433551737,6071.580520262084,3035.790260131042,False,False,float16,301.53608078744986,399.04279105182445
1768628468.460272,8,698.25,932,268,5586,synthetic-7B,32,4096,32,32000,5679.894371546769,6815.8732458561235,3407.9366229280618,False,True,float16,234.5979293705549,121.64305170697884
1768628468.4603293,8,313.875,862,52,2511,synthetic-7B,32,4096,32,32000,2472.530203223483,2967.0362438681796,1483.5181219340898,False,False,float16,200.3503869754344,203.7627387559896
1768628468.4603875,2,594.0,955,233,1188,synthetic-7B,32,4096,32,32000,706.4651342813045,847.7581611375654,423.8790805687827,True,True,float16,420.5135670607779,224.2405959295253
1768628468.4604456,4,507.5,944,279,2030,synthetic-7B,32,4096,32,32000,1914.0231130399898,2296.8277356479875,1148.4138678239938,False,True,float16,142.1812712210345,460.49555390744405
1768628468.4605026,2,508.0,713,303,1016,synthetic-7B,32,4096,32,32000,718.3589786313923,862.0307743576708,431.0153871788354,True,True,float16,458.2886479675065,44.39983321355476
1768628468.4605649,2,187.0,312,62,374,synthetic-7B,32,4096,32,32000,383.25192542786067,459.9023105134328,229.9511552567164,False,True,float16,291.73491222996887,274.5160611050001
1768628468.4606233,16,594.9375,967,103,9519,synthetic-7B,32,4096,32,32000,9938.275787976927,11925.930945572312,5962.965472786156,False,True,float16,157.23539872791338,207.05541125840287
1768628468.460682,16,521.0,905,152,8336,synthetic-7B,32,4096,32,32000,8343.261873300356,10011.914247960427,5005.9571239802135,False,False,float16,396.4006093611776,276.571614433331
1768628468.4607406,8,479.25,992,147,3834,synthetic-7B,32,4096,32,32000,3523.695567944812,4228.434681533774,2114.217340766887,False,True,float16,314.9988163699092,258.85566561051155
1768628468.4608002,2,131.0,174,88,262,synthetic-7B,32,4096,32,32000,255.2566910855962,306.30802930271545,153.15401465135773,False,True,float16,402.77115463785907,193.54519978292376
1768628468.4608586,8,413.125,894,68,3305,synthetic-7B,32,4096,32,32000,2486.5571328208825,2983.868559385059,1491.9342796925296,True,True,float16,201.9359851321709,236.74966818284122
1768628468.4609172,4,466.5,661,288,1866,synthetic-7B,32,4096,32,32000,1904.0928951969183,2284.9114742363017,1142.4557371181509,False,True,float16,281.97462053607416,392.23102626803444
1768628468.4609919,8,519.0,958,125,4152,synthetic-7B,32,4096,32,32000,4656.504835811171,5587.805802973405,2793.9029014867024,False,False,float16,291.774684543259,392.42694695667
1768628468.4610503,2,695.0,974,416,1390,synthetic-7B,32,4096,32,32000,1495.888422951717,1795.0661075420605,897.5330537710303,False,False,float16,272.5154841604757,476.0336963427554
1768628468.4611077,32,551.8125,948,60,17658,synthetic-7B,32,4096,32,32000,18495.536454126322,22194.643744951587,11097.321872475793,False,True,float16,400.0204896515465,237.82836523822638
1768628468.4611654,4,627.25,900,390,2509,synthetic-7B,32,4096,32,32000,2576.654162716578,3091.9849952598934,1545.9924976299467,False,False,float16,192.0697324135983,484.5040288133727
1768628468.4612224,2,531.5,542,521,1063,synthetic-7B,32,4096,32,32000,999.9915587693255,1199.9898705231906,599.9949352615953,False,True,float16,312.8288745453657,243.01852380551617
1768628468.4612796,1,461.0,461,461,461,synthetic-7B,32,4096,32,32000,440.93965948994213,529.1275913879306,264.5637956939653,False,True,float16,381.96878769728414,270.5521270855051
1768628468.4613376,4,784.75,909,684,3139,synthetic-7B,32,4096,32,32000,2872.430655566809,3446.916786680171,1723.4583933400854,False,True,float16,205.0924159029891,215.72664294677568
1768628468.461395,1,720.0,720,720,720,synthetic-7B,32,4096,32,32000,769.8342280745844,923.8010736895012,461.9005368447506,False,True,float16,202.5017940559312,204.3168004301631
1768628468.461454,16,520.8125,965,62,8333,synthetic-7B,32,4096,32,32000,8790.456331092819,10548.547597311383,5274.273798655691,False,True,float16,222.53651274292068,421.14111127451207
1768628468.4615161,4,433.0,970,72,1732,synthetic-7B,32,4096,32,32000,1762.660640648688,2115.1927687784255,1057.5963843892127,False,True,float16,293.04034035547596,208.1925921895048
1768628468.461574,2,407.0,533,281,814,synthetic-7B,32,4096,32,32000,513.6352752089895,616.3623302507873,308.18116512539365,True,False,float16,152.14690503687683,209.0710340882044
1768628468.4616337,2,874.0,953,795,1748,synthetic-7B,32,4096,32,32000,1939.5759979474904,2327.4911975369882,1163.7455987684941,False,False,float16,185.31975173045572,403.41107387387575
1768628468.4616916,32,487.6875,926,94,15606,synthetic-7B,32,4096,32,32000,15519.133802659939,18622.960563191926,9311.480281595963,False,True,float16,468.9450814682866,419.5408000131937
1768628468.46175,8,498.0,883,137,3984,synthetic-7B,32,4096,32,32000,3670.222251282997,4404.266701539596,2202.133350769798,False,True,float16,247.30110401140396,291.15810476468675
1768628468.4618084,4,514.0,804,254,2056,synthetic-7B,32,4096,32,32000,2004.4921831267188,2405.3906197520623,1202.6953098760312,False,True,float16,463.51836398304,99.09984579657056
1768628468.461865,1,148.0,148,148,148,synthetic-7B,32,4096,32,32000,81.57087908976692,97.8850549077203,48.94252745386015,True,True,float16,197.20623461342456,411.81446111137734
1768628468.4619231,4,659.5,785,553,2638,synthetic-7B,32,4096,32,32000,2498.9274743981996,2998.7129692778394,1499.3564846389197,False,True,float16,163.67803564335128,241.43846855301933
1768628468.4619937,1,936.0,936,936,936,synthetic-7B,32,4096,32,32000,1053.7847459137254,1264.5416950964704,632.2708475482352,False,True,float16,232.5891549966368,358.6766630322144
1768628468.4620526,1,648.0,648,648,648,synthetic-7B,32,4096,32,32000,456.3427345122234,547.611281414668,273.805640707334,True,True,float16,466.7919015769568,22.20973585028178
